state,site,disposal.area,type,well.id,gradient,samp.date,contaminant,measurement.unit,concentration
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-14-UG,Upgradient,8/30/16,"Mercury, total",mg/l,5.00E-07
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-14-UG,Upgradient,5/16/17,"Antimony, total",mg/l,0.001
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-20-DG,Downgradient,5/16/17,"Antimony, total",mg/l,0.0014
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-13-DG,Downgradient,5/16/17,"Antimony, total",mg/l,0.0015
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,5/16/17,"Antimony, total",mg/l,0.0016
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-20-DG,Downgradient,8/15/17,"Antimony, total",mg/l,0.0016
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-12-DG,Downgradient,5/16/17,"Antimony, total",mg/l,0.0022
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-14-UG,Upgradient,8/15/17,"Antimony, total",mg/l,0.0025
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-13-DG,Downgradient,8/15/17,"Antimony, total",mg/l,0.003
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,8/15/17,"Antimony, total",mg/l,0.004
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-12-DG,Downgradient,8/15/17,"Antimony, total",mg/l,0.0045
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-13-DG,Downgradient,11/17/15,"Lead, total",mg/l,0.005
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,2/14/17,"Arsenic, total",mg/l,0.006
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-12-DG,Downgradient,11/17/15,"Arsenic, total",mg/l,0.006
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-20-DG,Downgradient,11/17/15,"Arsenic, total",mg/l,0.006
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-20-DG,Downgradient,8/30/16,"Arsenic, total",mg/l,0.006
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-20-DG,Downgradient,5/11/16,"Chromium, total",mg/l,0.006
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,11/17/15,"Lead, total",mg/l,0.006
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-14-UG,Upgradient,8/30/16,"Arsenic, total",mg/l,0.008
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,11/17/15,"Arsenic, total",mg/l,0.008
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,8/30/16,"Arsenic, total",mg/l,0.008
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-13-DG,Downgradient,8/30/16,"Arsenic, total",mg/l,0.008
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-14-UG,Upgradient,11/17/15,"Arsenic, total",mg/l,0.009
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-12-DG,Downgradient,8/30/16,"Arsenic, total",mg/l,0.009
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,11/17/15,"Thallium, total",mg/l,0.012
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-13-DG,Downgradient,11/17/15,"Thallium, total",mg/l,0.012
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-12-DG,Downgradient,11/17/15,"Thallium, total",mg/l,0.014
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,5/11/16,"Barium, total",mg/l,0.03
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,11/9/16,"Barium, total",mg/l,0.03
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,5/16/17,"Barium, total",mg/l,0.03
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,2/9/16,"Barium, total",mg/l,0.04
NY,Dunkirk Generating Station,Dunkirk Landfill,L,BR-3-DG,Downgradient,8/30/16,"Barium, total",mg/l,0.04
